,bicapped-trigonal-prismatic,capped-octahedral,capped-trigonal-prismatic,cubic,dodecahedral,hexagonal-bipyramidal,octahedral,pentagonal-bipyramidal,square-antiprismatic,trans-bicapped-octahedral,trigonal-prismatic
,2.1589604747051503,,,2.550001153611762,2.076345351671936,1.7076273768243895,,,2.2270451499893453,2.5940003536190117,
,,0.8261930547434416,0.5289835965039512,,,,,0.5990681490816786,,,
,2.1426965047257864,,,2.487064255362408,2.3454072063933946,1.7564592332836177,,,1.5398739358440978,3.0042553608564333,
,2.2078662974044674,,,2.46433184310617,2.3742493146165042,1.775225229741474,,,1.5396125727456338,2.985372454761542,
,2.177908191622147,,,2.4748398414588753,2.3710029395535557,1.795993466643454,,,1.5109073756909146,2.985279621505093,
,2.163876920028741,,,2.474703443296786,2.356383954667688,1.7825775286944754,,,1.4968902002318403,2.9552320929019342,
,2.1254477788807327,,,2.42960893553774,2.2928159142908795,1.7690324283296237,,,1.4898233131008276,2.918207512448808,
,2.2164631991649237,,,2.4616606661656864,2.388286149079205,1.785041560660859,,,1.5464483610283501,2.9598369735349985,
,2.161466298007068,,,2.491887364133712,2.3385446167267374,1.7578679359218463,,,1.540782969467119,2.9610750835010906,
,,1.5165002645603842,1.4142582490393316,,,,,1.2529329857517777,,,
,2.2106548218164512,,,2.4896917365857414,2.3727437754517915,1.899560389368924,,,1.4079640930863095,2.940871412236498,
,2.1425174488068417,,,2.4160890529283625,2.341241114956827,1.727023618117731,,,1.5298401813917981,2.9464833515093365,
,2.198260185696734,,,2.4261568139002994,2.406496858890337,1.7703771769260717,,,1.543907086455463,2.9861888119566355,
,2.1574362717603273,,,2.5148783795006677,2.337426066899757,1.7844034225904417,,,1.5491908933121394,2.9858842945548214,
,2.204226593443427,,,2.4871768502943805,2.371260629466066,1.7784472811996213,,,1.543892140942564,2.966176105523042,
,,0.6419666955274833,0.44951598626196665,,,,,0.4377911816275845,,,
,,0.6924996112244088,0.4571270039183195,,,,,0.44239769476166424,,,
,,0.7131278649650883,0.450573625781535,,,,,0.34695719562257044,,,
,,0.7027576741250182,0.44158799917547525,,,,,0.48345499982485757,,,
,,0.7722043753949057,0.6084069453530777,,,,,0.3866645275392971,,,
,,0.7605551338632923,0.5447444871824264,,,,,0.37566943447038825,,,
,,,,,,,0.6745372443057674,,,,0.8262041052767278
,,0.6848410300462956,0.45748430928067957,,,,,0.5350510092663984,,,
,,0.7686364193382154,0.4289156776716295,,,,,0.555308080119559,,,
,,0.8419372519959408,0.5136816748416648,,,,,0.44117266097232055,,,
,,0.8988616082510613,0.47367103859730736,,,,,0.5049332188264297,,,
,,0.6727129195547974,0.5081410186863111,,,,,0.4853445356323866,,,
,2.0108575793614722,,,2.393206947542333,2.0326728376866394,1.6810217126418783,,,1.9446863563370977,2.597259058921985,
,2.418196966898098,,,2.358434245370301,2.5364264359774324,2.0795528661249065,,,1.8359494109659773,2.7795053171754835,
,2.423179606344292,,,2.356154783559374,2.506783934764063,2.094577318502976,,,1.853064249386201,2.793198768620826,
,2.3323131639228,,,2.3224306763831133,2.4472760640168785,2.0311421428821186,,,1.8602808457444306,2.8369516807729878,
,,0.7481279911948017,0.3335222095817501,,,,,0.6090395738073354,,,
,2.380746174509143,,,2.324748930613486,2.494754320040358,2.0419378870615197,,,1.8514756783008615,2.8144694601625457,
