,bicapped-trigonal-prismatic,capped-octahedral,capped-trigonal-prismatic,cubic,dodecahedral,hexagonal-bipyramidal,pentagonal-bipyramidal,square-antiprismatic,trans-bicapped-octahedral
,2.3629171304236802,,,2.280558070947744,2.2185944958603767,2.4678590814548147,,2.3478934392704724,2.185332208160879
,2.1912147356327814,,,2.045936840148654,2.027407211968133,2.3286425505089796,,2.102248700595571,2.019182114508277
,2.1500233425505306,,,2.2007946030719223,2.048675106580399,2.4811949463197367,,2.059760121750523,2.0918121712360045
,2.2304874454189307,,,2.116672644643837,2.1867360093714123,2.4172788733373354,,2.1861140023417334,2.2259245586347505
,2.293150519500837,,,2.0756756242093113,2.16759777702769,2.374288271771374,,2.2336026180359507,2.1201824915453016
,2.279285632687284,,,2.1777840531879358,2.2791892569896954,2.4495416756558432,,2.2224356538739634,2.3016107425462775
,2.387428620262588,,,2.3576202276063354,2.4414771368424946,2.612082018081837,,2.3407739639969085,2.499077485448005
,2.2885663828846985,,,2.043662325740387,2.1818892163141914,2.320010824489646,,2.2270643329815916,2.1799745012279828
,2.323826956861641,,,2.0007109137617327,2.18730329452806,2.238431405796011,,2.2445314052345657,2.106545109193184
,2.0808144956088714,,,1.9593767629190997,2.0170744745098426,2.2833117993667074,,2.023079808665411,2.145237717273458
,2.073077940440078,,,2.065067658270029,2.039847674127762,2.3771430799141484,,2.0487214785727894,2.283771793953352
,2.134830377949506,,,2.1309456934340436,2.111390513955628,2.446658732321479,,2.1261641218055463,2.307585858655191
,2.15301262627903,,,2.226975015501595,2.1453976961067216,2.5219157572295043,,2.162984057481407,2.377913384714373
,2.220675958528335,,,2.0473114089036137,2.1063179225054616,2.340940811556346,,2.1761371236385125,2.160784404178884
,2.5385727878511513,,,2.2820002329453657,2.476618362516432,2.483402098665016,,2.516595500359878,2.3794943261392665
,0.32967532320980203,,,0.7234685571269983,0.3475058715087829,0.9439390974320062,,0.21082269408307952,1.029151600913911
,0.6130011664746133,,,1.1483537289170531,0.8044155864751192,1.155518103501538,,0.6992625254923497,1.31285971053339
,0.7451011077255454,,,1.2776131373452784,0.9509434434079167,1.234905106385644,,0.8462627586234145,1.3673870795211434
,1.1004502618393657,,,1.5096336099506238,1.2708081443398387,1.3901887353314675,,1.194009322263709,1.5255507474432775
,1.0898779125761244,,,1.5078946894302987,1.2577007892785577,1.4144866317109326,,1.1702537113159959,1.5564487981963393
,0.8566754081112918,,,1.3984536735943067,1.0692349564757693,1.356508333336227,,0.9309291029915224,1.4452550485963371
,1.4643348013182393,,,1.7775048369937803,1.555536676607508,1.7199790437835214,,1.5333138651191296,1.8170168708958883
,1.3503406572721814,,,1.729977183742956,1.4520665107627238,1.625908619228814,,1.430223582478128,1.8080079275266392
,1.7151578934005427,,,2.1532457129295737,1.8256982709901501,2.095310344184742,,1.8119976377504818,2.2050968022802304
,1.894302934957932,,,2.2122301147665624,1.944683595756414,2.1087293694027394,,1.999708420225593,2.2134288742932418
,2.0395858742732846,,,2.318097845066431,2.0916038637149104,2.2400980390622465,,2.192186634453416,2.262225685422504
,2.3288781082108336,,,2.5014235232111517,2.405163370182686,2.4856434501560325,,2.491978068590693,2.406699025128204
,2.3569394809059645,,,2.487461093228549,2.4274957586321326,2.5562817677168757,,2.4376245874873685,2.438519464002404
,2.2110542656052488,,,2.571101473678973,2.3449320702765166,2.390969018755525,,2.320942381491053,2.6434761743016386
,2.3043674559233276,,,2.6496180988081433,2.418242964899308,2.4554905775460125,,2.3892475246164135,2.783333734573705
